,Symbol,Name,LastSale,Sector
0,DDD,3D Systems Corporation,8.24,Technology
1,MMM,3M Company,164.71,Health Care
2,WBAI,500.com Limited,9.88,Consumer Services
3,WUBA,58.com Inc.,51.33,Technology
4,EGHT,8x8 Inc,23.32,Technology
5,AHC,A.H. Belo Corporation,3.45,Consumer Services
6,AOS,A.O Smith Corporation,43.65,Consumer Durables
7,ATEN,"A10 Networks, Inc.",7.09,Technology
8,AAC,"AAC Holdings, Inc.",0.75,Health Care
9,AIR,AAR Corp.,39.46,Capital Goods
10,AAN,"Aaron&#39;s,  Inc.",61.56,Technology
11,ABB,ABB Ltd,18.05,Consumer Durables
12,ABT,Abbott Laboratories,83.16,Health Care
13,ABBV,AbbVie Inc.,65.23,Health Care
14,ANF,Abercrombie & Fitch Company,16.81,Consumer Services
20,ABM,ABM Industries Incorporated,39.5,Finance
21,AKR,Acadia Realty Trust,26.97,Consumer Services
22,ACN,Accenture plc,185.55,Miscellaneous
23,ACCO,Acco Brands Corporation,9.54,Consumer Durables
24,ATV,"Acorn International, Inc.",17.838,Consumer Services
25,ATU,Actuant Corporation,20.89,Technology
26,AYI,"Acuity Brands, Inc. ",127.56,Consumer Durables
27,GOLF,Acushnet Holdings Corp.,24.72,Consumer Non-Durables
30,AGRO,Adecoagro S.A.,6.68,Consumer Non-Durables
31,ADNT,Adient plc,19.3,Capital Goods
32,ADT,ADT Inc.,5.61,Consumer Services
33,ATGE,Adtalem Global Education Inc.,44.42,Consumer Services
34,AAP,Advance Auto Parts Inc,143.16,Consumer Services
35,ADSW,"Advanced Disposal Services, Inc.",32.41,Public Utilities
36,WMS,"Advanced Drainage Systems, Inc.",33.31,Capital Goods
37,ASIX,AdvanSix Inc.,23.23,Basic Industries
39,ACM,AECOM,33.44,Consumer Services
40,AEB,Aegon NV,23.75,Finance
41,AEG,Aegon NV,4.37,Finance
42,AEH,Aegon NV,26.12,Finance
43,AER,Aercap Holdings N.V.,51.75,Technology
44,HIVE,"Aerohive Networks, Inc.",4.45,Technology
45,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",48.32,Capital Goods
46,AMG,"Affiliated Managers Group, Inc.",78.99,Finance
47,MGR,"Affiliated Managers Group, Inc.",25.9,Finance
48,AFL,Aflac Incorporated,51.36,Finance
52,AGCO,AGCO Corporation,69.87,Capital Goods
53,A,"Agilent Technologies, Inc.",65.86,Capital Goods
54,AEM,Agnico Eagle Mines Limited,56.24,Basic Industries
55,ADC,Agree Realty Corporation,67.29,Consumer Services
56,AL,Air Lease Corporation,38.36,Technology
58,APD,"Air Products and Chemicals, Inc.",220.06,Basic Industries
59,AYR,Aircastle Limited,19.5,Technology
60,AKS,AK Steel Holding Corporation,2.68,Basic Industries
62,ALG,"Alamo Group, Inc.",107.33,Capital Goods
63,AGI,Alamos Gold Inc.,7.64,Basic Industries
64,ALK,"Alaska Air Group, Inc.",61.52,Transportation
65,AIN,Albany International Corporation,81.47,Basic Industries
66,ALB,Albemarle Corporation,65.41,Basic Industries
67,AA,Alcoa Corporation,20.15,Basic Industries
68,ALC,Alcon Inc.,58.2,Health Care
69,ALEX,"Alexander & Baldwin, Inc.",22.91,Consumer Services
70,ALX,"Alexander&#39;s, Inc.",354.35,Consumer Services
71,ARE,"Alexandria Real Estate Equities, Inc.",142.67,Consumer Services
73,AQN,Algonquin Power & Utilities Corp.,12.61,Public Utilities
74,AQNA,Algonquin Power & Utilities Corp.,27.69,Public Utilities
75,AQNB,Algonquin Power & Utilities Corp.,26.54,Public Utilities
76,BABA,Alibaba Group Holding Limited,153.67,Miscellaneous
77,Y,Alleghany Corporation,675.02,Finance
78,ATI,Allegheny Technologies Incorporated,19.58,Basic Industries
79,ALLE,Allegion plc,99.68,Consumer Services
80,AGN,Allergan plc.,160.63,Health Care
81,ALE,"Allete, Inc.",85.0,Public Utilities
82,ADS,Alliance Data Systems Corporation,152.13,Miscellaneous
85,AB,AllianceBernstein Holding L.P.,27.03,Finance
93,NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.05,Finance
94,ALSN,"Allison Transmission Holdings, Inc.",43.79,Capital Goods
95,ALL,Allstate Corporation (The),101.78,Finance
102,ALLY,Ally Financial Inc.,30.76,Finance
104,AYX,"Alteryx, Inc.",125.65,Technology
105,ATUS,"Altice USA, Inc.",26.23,Consumer Services
106,MO,Altria Group,46.65,Consumer Non-Durables
107,ACH,Aluminum Corporation of China Limited,7.31,Basic Industries
108,ABEV,Ambev S.A.,5.09,Consumer Non-Durables
109,AMC,"AMC Entertainment Holdings, Inc.",11.1,Consumer Services
110,AMCR,Amcor plc,10.3,Consumer Durables
111,AEE,Ameren Corporation,75.05,Public Utilities
112,AMRC,"Ameresco, Inc.",13.46,Basic Industries
113,AMOV,"America Movil, S.A.B. de C.V.",13.04,Public Utilities
114,AMX,"America Movil, S.A.B. de C.V.",13.32,Public Utilities
115,AAT,"American Assets Trust, Inc.",45.58,Consumer Services
116,AXL,"American Axle & Manufacturing Holdings, Inc.",8.55,Capital Goods
117,ACC,American Campus Communities Inc,46.0,Consumer Services
118,AEO,"American Eagle Outfitters, Inc.",15.85,Consumer Services
119,AEP,"American Electric Power Company, Inc.",88.02,Public Utilities
121,AEL,American Equity Investment Life Holding Company,22.3,Finance
122,AXP,American Express Company,120.72,Finance
123,AFG,"American Financial Group, Inc.",97.88,Finance
124,AFGB,"American Financial Group, Inc.",26.95,Finance
125,AFGE,"American Financial Group, Inc.",25.81,Finance
126,AFGH,"American Financial Group, Inc.",26.0,Finance
127,AMH,American Homes 4 Rent,23.99,Consumer Services
133,AIG,"American International Group, Inc.",52.81,Finance
136,ARL,"American Realty Investors, Inc.",14.97,Finance
137,ARA,"American Renal Associates Holdings, Inc",6.99,Health Care
138,AWR,American States Water Company,76.58,Public Utilities
139,AMT,American Tower Corporation (REIT),213.9,Consumer Services
140,AVD,American Vanguard Corporation,13.34,Basic Industries
141,AWK,American Water Works,115.38,Public Utilities
142,COLD,Americold Realty Trust,33.17,Consumer Services
143,APU,"AmeriGas Partners, L.P.",33.09,Consumer Services
144,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",130.45,Finance
145,ABC,AmerisourceBergen Corporation (Holding Co),88.7,Health Care
146,ANFI,Amira Nature Foods Ltd,0.6,Consumer Non-Durables
147,AMN,AMN Healthcare Services Inc,49.92,Technology
148,AMRX,"Amneal Pharmaceuticals, Inc.",3.02,Health Care
149,AP,Ampco-Pittsburgh Corporation,3.5,Capital Goods
150,APH,Amphenol Corporation,86.21,Capital Goods
151,AXR,AMREP Corporation,6.16,Consumer Services
152,AME,"AMTEK, Inc.",84.08,Consumer Durables
153,APC,Anadarko Petroleum Corporation,73.1,Energy
154,PLAN,"Anaplan, Inc.",53.25,Technology
156,AU,AngloGold Ashanti Limited,20.11,Basic Industries
157,BUD,Anheuser-Busch Inbev SA,98.19,Consumer Non-Durables
158,AXE,Anixter International Inc.,57.42,Consumer Non-Durables
159,NLY,Annaly Capital Management Inc,9.22,Consumer Services
164,AM,Antero Midstream Corporation,7.91,Public Utilities
165,AR,Antero Resources Corporation,4.39,Energy
166,ANTM,"Anthem, Inc.",283.62,Health Care
167,ANH,Anworth Mortgage Asset  Corporation,3.68,Consumer Services
171,AON,Aon plc,183.25,Finance
172,APA,Apache Corporation,23.25,Energy
