Symbol,Name,Sector,Current,1 Year,1 Year Change Percent
A,"Agilent Technologies, Inc.",Capital Goods,68.06,67.2131,1.2443432265648031
AA,Alcoa Corporation,Basic Industries,19.58,41.97,-114.35137895812055
AAC,"AAC Holdings, Inc.",Health Care,0.791,8.85,-1018.8369152970921
AAN,"Aaron&#39;s,  Inc.",Technology,64.09,46.8532,26.894679357154004
AAP,Advance Auto Parts Inc,Consumer Services,144.41,144.9998,-0.40842046949657007
AAT,"American Assets Trust, Inc.",Consumer Services,46.41,37.6291,18.920275802628737
AB,AllianceBernstein Holding L.P.,Finance,28.05,27.3057,2.6534759358288738
ABB,ABB Ltd,Consumer Durables,18.0,22.1982,-23.32333333333333
ABBV,AbbVie Inc.,Health Care,64.61,90.7339,-40.4332146726513
ABEV,Ambev S.A.,Consumer Non-Durables,5.205,4.9473,4.951008645533138
ABM,ABM Industries Incorporated,Finance,39.96,30.9453,22.55930930930931
ABT,Abbott Laboratories,Health Care,84.835,63.9157,24.65880827488654
ACC,American Campus Communities Inc,Consumer Services,46.59,39.8039,14.565572011161201
ACCO,Acco Brands Corporation,Consumer Durables,9.29,12.8532,-38.35522066738429
ACH,Aluminum Corporation of China Limited,Basic Industries,7.19,10.43,-45.0625869262865
ACM,AECOM,Consumer Services,33.495,33.15,1.030004478280337
ACN,Accenture plc,Miscellaneous,188.96,158.4277,16.15807578323456
ADC,Agree Realty Corporation,Consumer Services,69.07,52.1536,24.491675112205005
ADNT,Adient plc,Capital Goods,24.31,45.0146,-85.16906622788977
ADS,Alliance Data Systems Corporation,Miscellaneous,153.18,226.9754,-48.1756103930017
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,32.45,24.09,25.762711864406786
ADT,ADT Inc.,Consumer Services,5.205,8.9686,-72.3073967339097
AEB,Aegon NV,Finance,23.77,25.0538,-5.400925536390406
AEE,Ameren Corporation,Public Utilities,75.15,60.9501,18.895409181636733
AEG,Aegon NV,Finance,4.315,5.9246,-37.30243337195827
AEH,Aegon NV,Finance,26.09,25.92,0.6515906477577545
AEL,American Equity Investment Life Holding Company,Finance,22.815,36.0036,-57.80670611439841
AEM,Agnico Eagle Mines Limited,Basic Industries,58.39,39.6938,32.019523891077235
AEO,"American Eagle Outfitters, Inc.",Consumer Services,16.5,25.706,-55.7939393939394
AEP,"American Electric Power Company, Inc.",Public Utilities,89.89,68.8402,23.417287796195353
AER,Aercap Holdings N.V.,Technology,52.29,57.75,-10.441767068273094
AFG,"American Financial Group, Inc.",Finance,100.56,107.5927,-6.993536197295139
AFL,Aflac Incorporated,Finance,52.265,45.6836,12.59236582799197
AGCO,AGCO Corporation,Capital Goods,71.87,63.3382,11.871156254348133
AGI,Alamos Gold Inc.,Basic Industries,7.155,4.921,31.222921034241786
AGN,Allergan plc.,Health Care,159.0,182.2793,-14.64106918238994
AGRO,Adecoagro S.A.,Consumer Non-Durables,6.565,8.41,-28.1035795887281
AHC,A.H. Belo Corporation,Consumer Services,3.425,4.0819,-19.179562043795627
AIG,"American International Group, Inc.",Finance,54.5,51.8371,4.886055045871561
AIN,Albany International Corporation,Basic Industries,82.35,74.1903,9.908561020036432
AIR,AAR Corp.,Capital Goods,39.91,46.3147,-16.04785767977952
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",Capital Goods,49.835,34.37,31.032406942911617
AKR,Acadia Realty Trust,Consumer Services,27.15,26.0241,4.146961325966844
AKS,AK Steel Holding Corporation,Basic Industries,2.585,4.49,-73.69439071566732
AL,Air Lease Corporation,Technology,38.795,43.9616,-13.317695579327221
ALB,Albemarle Corporation,Basic Industries,67.97,91.7556,-34.994262174488746
ALE,"Allete, Inc.",Public Utilities,85.175,74.4651,12.573994716759602
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,22.92,23.5818,-2.8874345549738196
ALG,"Alamo Group, Inc.",Capital Goods,107.245,95.8396,10.634901394004382
ALK,"Alaska Air Group, Inc.",Transportation,63.14,62.561,0.9170098194488447
ALL,Allstate Corporation (The),Finance,103.5,96.7858,6.487149758454111
ALLE,Allegion plc,Consumer Services,98.43,82.4564,16.228385654780052
ALLY,Ally Financial Inc.,Finance,31.605,26.7131,15.478247112798607
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,43.385,46.6519,-7.530021896968998
ALX,"Alexander&#39;s, Inc.",Consumer Services,357.1,349.2668,2.193559227107262
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,11.34,15.0864,-33.03703703703703
AMG,"Affiliated Managers Group, Inc.",Finance,79.15,153.81,-94.32722678458622
AMH,American Homes 4 Rent,Consumer Services,24.375,22.3734,8.211692307692307
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,13.67,17.1534,-25.48207754206292
AMRC,"Ameresco, Inc.",Basic Industries,13.22,14.45,-9.304084720121018
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,14.085,17.2926,-22.773162939297116
ANF,Abercrombie & Fitch Company,Consumer Services,16.955,25.2872,-49.14302565614864
AOS,A.O Smith Corporation,Consumer Durables,45.51,58.3215,-28.15095583388267
APD,"Air Products and Chemicals, Inc.",Basic Industries,223.21,157.8068,29.30119618296671
AQN,Algonquin Power & Utilities Corp.,Public Utilities,12.895,9.7272,24.566110895696006
ARA,"American Renal Associates Holdings, Inc",Health Care,7.035,16.77,-138.37953091684435
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,144.38,124.5885,13.707923535115668
ARL,"American Realty Investors, Inc.",Finance,15.235,18.42,-20.905808992451608
ASIX,AdvanSix Inc.,Basic Industries,22.805,34.41,-50.88796316597236
ATEN,"A10 Networks, Inc.",Technology,7.015,6.68,4.775481111903065
ATGE,Adtalem Global Education Inc.,Consumer Services,46.46,55.05,-18.489022815325
ATI,Allegheny Technologies Incorporated,Basic Industries,19.6,27.12,-38.367346938775505
ATU,Actuant Corporation,Technology,21.345,28.0593,-31.45607870695714
ATUS,"Altice USA, Inc.",Consumer Services,26.725,17.37,35.00467726847521
ATV,"Acorn International, Inc.",Consumer Services,17.28,16.9073,2.156828703703714
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,8.095,17.3,-113.7121680049413
AXP,American Express Company,Finance,123.68,100.8323,18.47323738680466
AYI,"Acuity Brands, Inc. ",Consumer Durables,130.43,136.4751,-4.634746607375597
AYR,Aircastle Limited,Technology,19.96,19.6308,1.6492985971943894
AYX,"Alteryx, Inc.",Technology,126.55,46.05,63.61122086131964
BABA,Alibaba Group Holding Limited,Miscellaneous,159.38,179.92,-12.887438825448609
DDD,3D Systems Corporation,Technology,8.185,13.57,-65.79108124618203
EGHT,8x8 Inc,Technology,23.95,21.8,8.977035490605424
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,23.955,25.6136,-6.9238154873721705
HIVE,"Aerohive Networks, Inc.",Technology,4.445,4.64,-4.386951631046106
MMM,3M Company,Health Care,163.76,202.6294,-23.735588666340995
MO,Altria Group,Consumer Non-Durables,46.415,57.0375,-22.88592049983842
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,12.11,12.2471,-1.1321222130470705
WBAI,500.com Limited,Consumer Services,10.585,13.32,-25.838450637694844
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,33.475,26.9728,19.424047796863338
WUBA,58.com Inc.,Technology,51.11,67.51,-32.087654079436525
Y,Alleghany Corporation,Finance,739.25,632.5,14.440311126141358
